CUSTOMER_ID,PRIVATE_IP,START_REAL_PORT,END_REAL_PORT,START_DATETIME,END_DATETIME
Customer-1,170.178.159.152,0,0,1693450666,1694104042
Customer-2,42.231.15.132,0,0,1694023789,1694105331
Customer-3,202.170.158.176,0,0,1693449064,1694105610
Customer-4,121.185.212.142,0,0,1693334974,1694105854
Customer-5,56.173.173.68,0,0,1693333365,1694105126
Customer-6,113.238.119.219,0,0,1693336598,1694106140
Customer-7,144.80.117.197,0,0,1693365764,1694105146
Customer-8,205.236.237.251,0,0,1693514418,1694105948
Customer-9,227.87.226.119,0,0,1693750490,1694105496
Customer-10,114.171.88.248,0,0,1693365796,1694106060
Customer-11,53.30.47.111,0,0,1693365767,1694105505
Customer-12,185.178.24.39,0,0,1693967454,1694105882
Customer-13,125.224.194.39,0,0,1694027536,1694105979
Customer-14,124.75.144.81,0,0,1693522884,1694105413
Customer-15,49.228.180.245,0,0,1693336555,1694106195
Customer-16,142.243.247.3,0,0,1693452131,1694105286
Customer-17,195.141.244.211,0,0,1694063342,1694081482
Customer-17,195.141.244.211,0,0,1694071096,1694104128
Customer-18,222.146.243.200,0,0,1694063274,1694103776
Customer-19,238.35.30.142,24244,25533,1692244349,1694092411
Customer-20,242.107.58.246,34564,35853,1693670817,1694093057
Customer-21,246.133.46.103,26824,28113,1693831804,1694093082
Customer-22,102.210.226.91,7474,8763,1692379190,1694094000
Customer-23,181.83.17.209,44884,46173,1693599913,1694094775
Customer-24,217.253.229.94,30694,31983,1694048102,1694091812
Customer-25,65.86.228.217,11504,12813,1693963432,1694093939
Customer-26,11.230.100.69,33274,34563,1694022384,1694094824
Customer-27,35.47.106.81,54734,56043,1693991567,1694093233
Customer-28,1.165.163.79,16504,17793,1693963292,1694094150
Customer-29,7.154.167.184,42944,44253,1693873935,1694092786
Customer-30,40.157.135.77,49494,50803,1693656996,1694093159
Customer-31,171.13.69.184,30694,31983,1692668119,1694093420
Customer-32,69.6.141.31,57784,59073,1694077676,1694092076
Customer-33,69.231.6.129,39724,41013,1692451931,1694094849
Customer-34,39.114.255.44,16504,17793,1694048103,1694091683
Customer-35,172.84.215.106,21664,22953,1694077692,1694092092
Customer-36,75.43.57.83,60364,61653,1693567657,1694091667
Customer-37,217.86.225.27,11504,12813,1693102752,1694091687
Customer-38,63.5.244.67,64234,65523,1693336400,1694092542
Customer-39,232.72.186.57,0,0,1693491819,1694105780
Customer-40,189.196.175.139,0,0,1693967426,1694105542
Customer-41,138.238.113.61,0,0,1693993748,1694105522
Customer-42,148.134.176.161,0,0,1693883945,1694089874
Customer-43,29.171.52.10,0,0,1693336562,1694105791
Customer-44,238.235.73.96,0,0,1694015959,1694105866
Customer-45,219.97.136.155,0,0,1693472834,1694106074
Customer-46,81.194.149.29,0,0,1693881076,1694105907
Customer-47,16.160.170.67,0,0,1693535489,1694105078
Customer-48,200.197.83.119,0,0,1694001367,1694106001
Customer-49,191.47.174.151,0,0,1693538217,1694105759
Customer-50,231.229.197.68,0,0,1693447398,1694105503
Customer-51,145.182.235.214,0,0,1693365771,1694105972
Customer-52,163.177.59.103,0,0,1693967423,1694106095
Customer-53,7.50.237.68,0,0,1693522687,1694105859
Customer-54,117.182.105.37,0,0,1694028036,1694105784
Customer-55,6.189.231.192,0,0,1693538173,1694105835
Customer-56,69.77.202.248,0,0,1693797899,1694105630
Customer-57,23.146.35.145,0,0,1693334707,1694105875
Customer-7864,23.146.35.145,0,65523,1694082836,1694082837
Customer-58,251.221.146.189,0,0,1693334700,1694105441
Customer-59,30.203.99.199,0,0,1693777399,1694105531
Customer-60,87.114.193.196,0,0,1693365764,1694105380
Customer-61,92.45.166.89,0,0,1693865857,1694105707
Customer-62,222.1.62.186,0,0,1693967467,1694105261
Customer-63,184.46.182.199,0,0,1694063922,1694104545
Customer-64,27.129.192.34,10054,11343,1694048103,1694091631
Customer-65,156.161.38.43,62944,64233,1694077664,1694092064
Customer-66,83.59.0.143,46874,48183,1693278813,1694093274
Customer-67,21.136.197.234,43594,44883,1693876083,1694094163
Customer-68,112.109.104.18,34564,35853,1694048101,1694091739
Customer-69,216.111.228.212,33274,34563,1693917647,1694091774
Customer-70,53.78.96.65,17794,19083,1692869967,1694091959
Customer-71,138.167.148.133,8764,10053,1693672706,1694093924
Customer-72,63.10.149.165,20374,21663,1692595934,1694094163
Customer-73,155.16.1.46,51334,52623,1693963158,1694093888
Customer-74,222.8.178.218,50044,51333,1693774125,1694094568
Customer-75,216.228.85.250,19084,20373,1693905907,1694095007
Customer-76,221.118.24.148,10194,11503,1694019424,1694092063
Customer-77,62.202.123.159,31984,33273,1693699755,1694092152
Customer-78,138.99.49.64,13924,15213,1693991557,1694093352
Customer-79,71.84.165.73,11344,12633,1693963429,1694094101
Customer-80,62.90.127.18,13924,15213,1693150638,1694094295
Customer-81,165.155.10.164,31984,33273,1693946967,1694092063
Customer-82,250.80.246.135,13924,15213,1693439651,1694093851
Customer-83,170.197.248.137,15214,16503,1693307956,1694094150
Customer-84,143.90.218.123,43594,44883,1694079763,1694094163
Customer-85,95.184.206.178,61654,62943,1693278303,1694092792
Customer-86,80.29.90.26,43594,44883,1694048101,1694091719
Customer-87,130.124.225.150,61654,62943,1693116987,1694091838
Customer-88,62.121.73.86,44254,45563,1690484473,1694092063
Customer-89,149.44.243.224,33274,34563,1693963429,1694094074
Customer-90,18.149.134.28,10054,11343,1693991557,1694093259
Customer-91,223.221.1.114,56494,57783,1694065357,1694094163
Customer-92,132.94.161.135,38434,39723,1693498213,1694094058
Customer-93,210.214.32.78,0,0,1694063681,1694081702
Customer-93,210.214.32.78,0,0,1694071102,1694104003
Customer-94,157.96.92.69,34564,35853,1693439809,1694093994
Customer-95,90.176.153.218,2314,3603,1694079763,1694094163
Customer-96,214.253.124.26,39724,41013,1692100744,1694094389
Customer-97,160.228.94.12,15214,16503,1693252048,1694094905
Customer-98,238.31.169.201,19364,20673,1693497730,1694093608
Customer-99,172.172.219.159,46174,47463,1693177871,1694093662
Customer-100,26.81.4.96,12634,13923,1693396467,1694094160
Customer-101,141.230.157.32,0,0,1693365793,1694105904
Customer-102,122.104.27.29,0,0,1693386836,1694105397
Customer-103,2.31.211.22,0,0,1693883764,1694105715
Customer-104,43.219.234.83,0,0,1693336564,1694105775
Customer-105,235.54.55.110,0,0,1693990033,1694105751
Customer-106,215.27.142.217,0,0,1693457823,1694105617
Customer-107,40.35.241.116,0,0,1693968173,1694105575
Customer-108,178.172.99.101,0,0,1693967468,1694082740
Customer-108,178.172.99.101,0,0,1694082952,1694104749
Customer-109,144.66.181.194,0,0,1693622899,1694105442
Customer-110,225.51.55.10,0,0,1693883774,1694105910
Customer-111,141.130.14.206,0,0,1693624669,1694105647
Customer-112,0.74.184.231,0,0,1693474995,1694105795
Customer-113,251.205.60.187,0,0,1693538695,1694106085
Customer-114,193.248.122.204,0,0,1693336551,1694105820
Customer-115,162.151.156.20,0,0,1693967439,1694106020
Customer-116,40.19.147.64,0,0,1693507444,1694106080
Customer-117,241.164.131.83,0,0,1693523474,1694104563
Customer-118,57.114.14.154,0,0,1693820568,1694106167
Customer-119,54.124.238.1,0,0,1693708610,1694105670
Customer-120,52.148.74.213,0,0,1693455229,1694105497
Customer-121,72.200.208.211,0,0,1693336549,1694105473
Customer-122,186.100.144.94,0,0,1693840196,1694091019
Customer-123,148.148.226.128,0,0,1693967458,1694105263
Customer-124,136.31.123.72,0,0,1693538629,1694106099
Customer-125,178.167.227.97,0,0,1693561552,1694106906
Customer-126,125.239.73.150,0,0,1693797377,1694106228
Customer-127,253.173.54.132,0,0,1693916615,1694106389
Customer-128,218.192.197.80,0,0,1693665634,1694106761
Customer-129,98.172.95.162,0,0,1693362701,1694106746
Customer-130,95.6.88.42,0,0,1693453026,1694106132
Customer-131,254.177.106.86,0,0,1693624716,1694106802
Customer-132,25.29.43.116,0,0,1693624624,1694106780
Customer-133,44.30.80.1,0,0,1693333357,1694106076
Customer-134,35.29.136.151,0,0,1693336568,1694106481
Customer-135,13.87.179.132,0,0,1693897400,1694106053
Customer-136,24.45.54.172,0,0,1693452116,1694106242
Customer-137,227.110.113.86,0,0,1693624690,1694106018
Customer-138,242.185.11.205,0,0,1693336523,1694106450
Customer-139,62.171.81.5,0,0,1693711799,1694106368
Customer-140,94.53.209.106,0,0,1693494035,1694104822
Customer-141,109.135.117.68,0,0,1693484882,1694105902
Customer-142,101.142.81.41,0,0,1693739983,1694106314
Customer-143,228.221.63.16,0,0,1693968300,1694106323
Customer-144,177.50.34.255,0,0,1693968071,1694106326
Customer-145,232.197.80.250,0,0,1693333367,1694105817
Customer-146,56.35.226.230,0,0,1693336510,1694105896
Customer-147,11.56.202.127,0,0,1693926708,1694105946
Customer-148,160.168.13.47,0,0,1693336012,1694106204
Customer-149,145.202.167.202,0,0,1693796558,1694106074
Customer-150,49.243.248.252,0,0,1693365755,1694106091
Customer-151,179.150.192.135,61654,62943,1693905217,1694094469
Customer-152,81.107.126.32,13924,15213,1693586501,1694094959
Customer-153,95.55.154.126,0,65523,1694077665,1694092065
Customer-154,248.195.247.139,16504,17793,1693615045,1694094998
Customer-155,124.201.89.39,39724,41013,1692117611,1694095185
Customer-156,166.246.199.114,0,0,1694064186,1694104764
Customer-157,89.17.4.182,62944,64233,1693889094,1694092454
Customer-158,110.215.20.26,41014,42303,1692726544,1694093188
Customer-159,169.235.20.44,48754,50043,1691374704,1694094338
Customer-160,193.110.226.96,54734,56043,1693947369,1694092731
Customer-161,85.163.215.20,64234,65523,1693655697,1694092761
Customer-162,191.208.113.35,7474,8763,1693963062,1694094028
Customer-163,198.85.77.8,39014,40323,1693873930,1694091838
Customer-164,133.28.9.96,30694,31983,1694077666,1694092066
Customer-165,28.199.55.79,1024,2313,1693527202,1694094829
Customer-166,203.15.135.168,2314,3603,1693309681,1694094910
Customer-167,3.21.14.16,47464,48753,1693845346,1694092946
Customer-168,82.137.232.160,3604,4893,1693991576,1694093159
Customer-169,181.69.207.33,35854,37143,1693556928,1694093965
Customer-170,73.81.20.145,37144,38433,1694077676,1694092076
Customer-171,36.195.156.84,38434,39723,1693453675,1694093218
Customer-172,139.160.148.134,35084,36393,1692725912,1694093367
Customer-173,126.95.113.199,27224,28533,1693817581,1694093904
Customer-174,195.58.72.187,14124,15433,1693148584,1694094383
Customer-175,251.183.111.188,64234,65523,1693423384,1694092422
Customer-176,155.252.128.115,11344,12633,1693569540,1694092781
Customer-177,76.203.164.22,35084,36393,1692915375,1694092901
Customer-178,81.70.179.103,29404,30693,1693759597,1694094475
Customer-179,135.94.139.67,37144,38433,1693876193,1694094493
Customer-180,172.217.234.130,62944,64233,1693193348,1694094963
Customer-181,114.73.23.7,39724,41013,1693350824,1694092068
Customer-182,110.66.198.210,12634,13923,1693396940,1694094169
Customer-183,79.70.166.12,20374,21663,1693949500,1694094730
Customer-184,114.101.142.169,41014,42303,1693178408,1694094867
Customer-185,178.141.26.191,3604,4893,1693788580,1694093972
Customer-186,32.94.93.198,64234,65523,1694048101,1694091752
Customer-187,60.62.222.27,29404,30693,1694077662,1694092062
Customer-188,18.250.9.202,28114,29403,1693074331,1694092508
Customer-189,133.234.70.55,16744,18053,1693702791,1694094687
Customer-190,252.19.45.129,52114,53423,1692884332,1694092062
Customer-191,52.47.3.128,34564,35853,1693817641,1694094199
Customer-192,77.108.111.143,42304,43593,1692232161,1694092305
Customer-193,241.225.6.186,12634,13923,1692986475,1694092333
Customer-194,169.246.88.176,26824,28113,1693002610,1694093429
Customer-195,130.146.87.20,16504,17793,1693134797,1694094692
Customer-196,24.167.161.252,58664,59973,1694019483,1694092247
Customer-197,167.64.203.235,64234,65523,1693861917,1694094593
Customer-198,137.113.243.253,39724,41013,1692959052,1694092039
Customer-199,232.255.193.62,20374,21663,1693745813,1694094814
Customer-200,87.80.32.216,1024,2313,1694077660,1694092060
Customer-201,132.254.160.120,0,0,1694065500,1694094437
Customer-202,99.155.131.254,1024,2313,1693323297,1694093672
Customer-203,200.8.234.248,59074,60363,1694048101,1694091686
Customer-204,146.166.60.86,7474,8763,1693673147,1694093981
Customer-205,163.1.24.73,12634,13923,1694048102,1694091776
Customer-206,137.29.35.140,64234,65523,1693672936,1694094045
Customer-207,76.92.232.99,25534,26823,1692771726,1694094161
Customer-208,86.106.9.45,50044,51333,1694079903,1694094303
Customer-209,220.247.179.240,7574,8883,1693149359,1694095136
Customer-210,34.217.55.220,46174,47463,1693993618,1694095167
Customer-211,31.178.242.138,26824,28113,1693931381,1694091608
Customer-212,135.5.7.248,48754,50043,1693905235,1694094158
Customer-213,196.52.73.128,34564,35853,1693569081,1694093051
Customer-214,151.25.26.32,1024,2313,1694036273,1694094161
Customer-215,147.147.116.170,7474,8763,1693105385,1694094163
Customer-216,8.109.143.156,22954,24243,1693830153,1694091816
Customer-217,92.11.234.250,60364,61653,1692813310,1694094161
Customer-218,124.245.46.8,17794,19083,1692623638,1694091916
Customer-219,77.136.147.115,3604,4893,1692710195,1694092515
Customer-220,105.191.142.147,3604,4893,1694048100,1694091617
Customer-221,94.118.40.169,44884,46173,1692565059,1694092830
Customer-222,174.125.169.36,52624,53913,1694079903,1694094303
Customer-223,158.116.18.93,40324,41633,1693757151,1694092059
Customer-224,168.31.42.209,4894,6183,1693947366,1694092604
Customer-225,113.164.183.88,3604,4893,1693802539,1694093080
Customer-226,21.23.98.40,6184,7473,1693860703,1694093362
Customer-227,105.85.205.179,25534,26823,1694048654,1694092059
Customer-228,130.201.31.215,12634,13923,1693337343,1694094089
Customer-229,10.173.57.144,53914,55203,1693569286,1694092075
Customer-230,17.30.224.138,37144,38433,1693686765,1694094260
Customer-231,255.74.12.121,32464,33773,1693746150,1694094816
Customer-232,112.55.95.173,50044,51333,1693961451,1694092130
Customer-233,61.166.79.112,20374,21663,1693571073,1694094088
Customer-233,220.34.28.73,39724,41013,1693573788,1694097648
Customer-234,229.17.192.20,25534,26823,1693902522,1694092060
Customer-235,33.196.101.254,57354,58663,1693905043,1694094396
Customer-236,241.156.187.5,49494,50803,1693440853,1694095109
Customer-237,234.160.63.65,61654,62943,1693963163,1694094371
Customer-237,11.101.40.90,23294,24603,1693939644,1694099759
Customer-238,139.229.38.67,8764,10053,1693626962,1694092061
Customer-239,72.81.0.187,11504,12813,1694077661,1694092061
Customer-239,171.216.76.89,32464,33773,1692843631,1694093996
Customer-240,195.101.206.200,25534,26823,1690312822,1694092065
Customer-241,190.153.211.233,1024,2313,1693772386,1694092218
Customer-242,105.20.9.135,51334,52623,1693324252,1694094123
Customer-243,0.194.241.28,55204,56493,1693323721,1694094785
Customer-244,180.42.12.229,24244,25533,1693963373,1694094443
Customer-245,69.168.43.175,61654,62943,1693917979,1694092498
Customer-246,170.82.176.147,64234,65523,1693309710,1694093704
Customer-247,42.172.151.90,34564,35853,1692550571,1694092062
Customer-248,127.232.25.208,11344,12633,1692725503,1694092038
Customer-249,235.75.200.166,17794,19083,1693350757,1694092264
Customer-250,196.120.37.192,11504,12813,1694006916,1694094075
Customer-251,111.32.14.0,37144,38433,1693963125,1694094182
Customer-252,224.61.128.89,35084,36393,1693991555,1694093270
Customer-253,134.56.118.125,50044,51333,1693992508,1694094041
Customer-254,183.63.212.2,33274,34563,1693615172,1694094786
Customer-255,61.101.85.253,51334,52623,1694006912,1694094275
Customer-256,104.46.163.181,47464,48753,1693891498,1694094966
Customer-257,81.211.129.197,48184,49493,1693005498,1694095193
Customer-258,241.174.209.224,46174,47463,1692972226,1694092300
Customer-259,154.69.81.33,46174,47463,1693961447,1694092610
Customer-260,74.254.57.16,13924,15213,1693557645,1694094931
Customer-261,154.227.134.14,21984,23293,1692887598,1694095018
Customer-262,18.205.60.131,41014,42303,1693873925,1694092296
Customer-263,141.179.196.86,20374,21663,1693932909,1694093176
Customer-264,73.38.243.27,28114,29403,1693876181,1694094161
Customer-265,90.152.148.222,35854,37143,1692860037,1694094840
Customer-266,88.80.115.98,59074,60363,1693324218,1694095122
Customer-267,228.96.55.253,64234,65523,1693104965,1694094081
Customer-268,219.23.100.205,35854,37143,1694022373,1694095051
Customer-269,129.50.135.174,44884,46173,1693903087,1694092156
Customer-270,169.232.61.124,31984,33273,1693948593,1694093810
Customer-271,61.4.203.198,19084,20373,1693453740,1694093866
Customer-272,206.147.103.124,29844,31153,1693963427,1694094080
Customer-273,57.163.153.147,31984,33273,1693466370,1694092059
Customer-274,72.145.195.106,42304,43593,1694077659,1694092059
Customer-275,155.33.190.140,59974,61283,1693292859,1694092059
Customer-276,100.183.99.196,25534,26823,1693774982,1694094781
Customer-277,117.178.24.46,37144,38433,1694022374,1694094810
Customer-278,192.80.90.184,3604,4893,1693233570,1694092063
Customer-279,211.73.82.43,8764,10053,1693831396,1694092545
Customer-280,46.28.156.1,42304,43593,1693932902,1694092846
Customer-281,195.63.118.192,64234,65523,1693352319,1694094003
Customer-282,198.144.138.145,27224,28533,1693963432,1694094027
Customer-283,226.180.103.89,0,0,1693520070,1694102149
Customer-284,251.182.117.130,0,0,1693995344,1694106488
Customer-285,86.174.98.116,0,0,1693624689,1694106167
Customer-286,86.75.4.4,0,0,1693624601,1694106581
Customer-287,249.220.253.1,0,0,1693864828,1694106164
Customer-288,186.226.49.55,0,0,1693931019,1694106016
Customer-289,220.159.93.74,0,0,1693410302,1694106942
Customer-290,160.79.199.11,0,0,1693376587,1694106056
Customer-291,172.17.185.129,0,0,1693622140,1694106550
Customer-292,96.198.3.211,0,0,1693814023,1694105230
Customer-293,222.53.45.17,0,0,1693843273,1694105286
Customer-294,177.197.220.161,0,0,1693481436,1694106015
Customer-295,118.85.230.78,0,0,1693333363,1694106211
Customer-296,1.13.100.130,0,0,1693388294,1694105952
Customer-297,83.54.60.147,0,0,1693621856,1694105706
Customer-298,19.229.191.8,0,0,1693452144,1694106293
Customer-299,180.40.121.228,0,0,1693440420,1694105798
Customer-300,121.204.88.80,0,0,1693930871,1694106306
Customer-301,40.103.168.250,0,0,1693933650,1694106322
Customer-302,211.123.64.11,0,0,1693711047,1694106152
Customer-303,167.157.84.91,0,0,1693336563,1694106223
